section,row,n_section_id,n_row_id,valid
509,11,168,10,True
303,12,118,11,True
404,1,166,0,True
407,1,27,0,True
Baseline Boxes 129,16,48,11,True
138,2,10,1,True
110,21,87,25,True
110,18,87,22,True
136,2,6,1,True
302,3,117,2,True
312,9,75,8,True
505,11,172,10,True
135,2,7,1,True
109,1,124,3,True
109,A,124,0,True
135,3,7,2,True
FIELD SILVER 109,D,124,1,True
Excelsior Level 303,5,118,4,True
520,5,34,4,True
122,29,41,28,True
Promenade Reserved 523,5,38,4,True
101,7,128,4,True
534,1,64,0,True
520,5,34,4,True
521,1,36,0,True
Promenade Infield 510,5,146,4,True
Promenade Reserved 508,7,167,6,True
126,C,45,0,True
109,E,124,2,True
Promenade Reserved 506,5,169,4,True
512,2,148,1,True
416,2,95,1,True
311.,4,76,3,True
119,4,90,1,True
134,5,8,10,True
Metropolitan Boxes 123,13,42,12,True
Promenade Reserved 506,1,169,0,True
Metropolitan Box 113,25,88,24,True
521,3,36,2,True
523,4,38,3,True
Caesars Box 310,2,77,1,True
Section 139,7,9,6,True
Baseline Silver 129,19,48,14,True
121,18,40,17,True
Promenade Level 506,5,169,4,True
114,17,83,16,True
Left Field 137,4,5,3,True
309,1-10,,,False
Promenade Box 404,1,166,0,True
508,9,167,8,True
510,6,146,5,True
121,32,,,False
116,4,85,1,True
Promenade Level 516,8,152,7,True
103,6,127,5,True
Coca Cola Corner 303,6,118,5,True
Baseline Silver 107,14,130,15,True
311,4,76,3,True
114,16,83,15,True
Baseline Boxes 129,12,48,7,True
522,4,37,3,True
Section 520,12,34,11,True
113,19,88,18,True
114,16,83,15,True
Promenade Reserved 525,4,18,3,True
109,1,124,3,True
520,10,34,9,True
102,8,126,5,True
Left Field 134,H,8,5,True
107,12,130,13,True
107,19,130,20,True
Promenade Level 524,1,12,0,True
Metropolitan Boxes 121,17,40,16,True
507,5,170,4,True
107,12,130,13,True
523,4,38,3,True
534,1,64,0,True
128,7,47,11,True
508,2,167,1,True
123,3,42,2,True
319,5,72,4,True
135,3,7,2,True
138,02,10,1,True
301,2,116,1,True
Promenade Level 508,7,167,6,True
128,10,47,14,True
123,14,42,13,True
107,13,130,14,True
516,4,152,3,True
327,6,200,5,True
Field Box 109,27,124,29,True
Section 527,2,30,1,True
123,19,42,18,True
137,1,5,0,True
125,19,44,21,True
121,20,40,19,True
523,5,38,4,True
310,5,77,4,True
524,2,12,1,True
319,2,72,1,True
410,1,105,0,True
523,3,38,2,True
336,1,158,0,True
330,2,160,1,True
328,5,203,4,True
525,3,18,2,True
422,1-6,,,False
125,7,44,9,True
Promenade Reserved 506,4,169,3,True
107,16,130,17,True
523,7,38,6,True
508,4,167,3,True
Promenade Level 508,3,167,2,True
309.,4,113,3,True
405,5,29,4,True
136,4,6,3,True
135,3,7,2,True
301,2,116,1,True
Caesars Box 330,1,160,0,True
Field Boxes 126,17,45,21,True
Section 531,1,67,0,True
Left Field 135,6,7,5,True
134,2,8,7,True
513,2,213,1,True
137,1,5,0,True
528,2,108,1,True
Field Boxes 126,12,45,16,True
121,4,40,3,True
101,10,128,7,True
Promenade Box 426,2,111,1,True
521,5,36,4,True
302,3,117,2,True
Field Box 110,23,87,27,True
128,10,47,14,True
304,2,119,1,True
136,2,6,1,True
311,5,76,4,True
Promenade Level 515,2,149,1,True
Section 111,22,86,21,True
113,22,88,21,True
123,20,42,19,True
509,3,168,2,True
112,14,89,13,True
519,1-10,,,False
520,7,34,6,True
125,A,,,False
125,14,44,16,True
505,8,172,7,True
326,7,199,6,True
119,4,90,1,True
Baseline Silver 107,17,130,18,True
122,17,41,16,True
128,E,47,4,True
524,11,12,10,True
125,8,44,10,True
Field Boxes 110,16,87,20,True
112,13,89,12,True
406,1,28,0,True
109,13,124,15,True
122,8,41,7,True
410,1,105,0,True
407,2,27,1,True
Promenade Level 521,8,36,7,True
312,7,75,6,True
112,14,89,13,True
123,19,42,18,True
18,15,186,10,True
330,3,160,2,True
117,8,84,7,True
Field Boxes 110,11,87,15,True
Caesars Box 311,2,76,1,True
109,14,124,16,True
123,16,42,15,True
310,6,77,5,True
121,8,40,7,True
520,2,34,1,True
406,4,28,3,True
Caesars Box 329,2,204,1,True
110,22,87,26,True
Metropolitan Box 112,14,89,13,True
407,1,27,0,True
508,9,167,8,True
123,8,42,7,True
112,4,89,3,True
409,4,35,3,True
107,17,130,18,True
407,1,27,0,True
Promenade Level 517,4,151,3,True
114,2,83,1,True
Left Field 136,2,6,1,True
509,1,168,0,True
Promenade Level 506,4,169,3,True
Promenade Level 520,7,34,6,True
328,3,203,2,True
310,4,77,3,True
415,3,94,2,True
136,4,6,3,True
520,3,34,2,True
511,2,145,1,True
508,1-17,,,False
427,2,110,1,True
126,36,,,False
129,27,48,22,True
519,3,137,2,True
123,14,42,13,True
112,21,89,20,True
Baseline Silver 128,20,47,24,True
Coca Cola Corner 301,5,116,4,True
506,8,169,7,True
Excelsior Level 309,4,113,3,True
121,20,40,19,True
508,7,167,6,True
514,2,217,1,True
518,12,194,11,True
126,10,45,14,True
128,1-10,,,False
Section 123,28,42,27,True
310,1,77,0,True
Excelsior Level 311,5,76,4,True
416,2,95,1,True
521,5,36,4,True
302,8,117,7,True
Baseline Boxes 107,9,130,10,True
Baseline Silver 128,10,47,14,True
330,3,160,2,True
507,2,170,1,True
Field Boxes 126,8,45,12,True
Field Reserved 103,2,127,1,True
407,1,27,0,True
416,2,95,1,True
Baseline Box 106,12,129,7,True
516,5,152,4,True
111,14,86,13,True
Promenade Level 521,4,36,3,True
128,13,47,17,True
17,13,183,8,True
114,19,83,18,True
17,13,183,8,True
311.,4,76,3,True
112,21,89,20,True
304,2,119,1,True
112,15,89,14,True
509,4,168,3,True
107,7,130,8,True
327,2,200,1,True
519,8,137,7,True
505,6,172,5,True
426,1,111,0,True
509,3,168,2,True
126,2,45,6,True
Section 518,10,194,9,True
Coca Cola Corner 303,4,118,3,True
Left Field 134,F,8,3,True
513,2,213,1,True
126,1,45,5,True
302,4,117,3,True
103,4,127,3,True
107,5,130,6,True
301,2,116,1,True
509,3,168,2,True
327,2,200,1,True
135,1-23,,,False
110,23,87,27,True
327,6,200,5,True
517,5,151,4,True
320,1,197,0,True
506,16,169,15,True
128,22,47,26,True
333,2,161,1,True
114,21,83,20,True
123,20,42,19,True
116,6,85,3,True
114,2,83,1,True
112,1-31,,,False
LEFT FIELD RESERVED 139,4,9,3,True
134,4,8,9,True
113,25,88,24,True
126,8,45,12,True
302,5,117,4,True
106,18,129,13,True
Metropolitan Boxes 113,22,88,21,True
327,9,200,8,True
112,19,89,18,True
Promenade Infield 517,5,151,4,True
122,7,41,6,True
327,6,200,5,True
126,2,45,6,True
420,1,133,0,True
Promenade Level 520,5,34,4,True
128,17,47,21,True
506,5,169,4,True
310,5,77,4,True
Field Box 126,16,45,20,True
Baseline Boxes 107,8,130,9,True
423,1,106,0,True
134,1,8,6,True
126,4,45,8,True
114,15,83,14,True
520,5,34,4,True
Field Reserved 137,2,5,1,True
128,10,47,14,True
516,3,152,2,True
302,2,117,1,True
339,3,153,2,True
128,7,47,11,True
Promenade Level 406,2,28,1,True
136,4,6,3,True
506,5,169,4,True
320,1,197,0,True
128,20,47,24,True
301,3,116,2,True
109,11,124,13,True
Promenade Level 525,1,18,0,True
13,17,179,14,True
128,13,47,17,True
Field Boxes 125,18,44,20,True
109,1,124,3,True
Promenade Reserved 506,4,169,3,True
101,11,128,8,True
114,17,83,16,True
134,5,8,10,True
18,16,186,11,True
Field Box 109,7,124,9,True
524,1,12,0,True
107,11,130,12,True
Baseline Boxes 107,5,130,6,True
Promenade Reserved 519,9,137,8,True
128,9,47,13,True
126,7,45,11,True
Excelsior Level 301,4,116,3,True
403,2,31,1,True
Metropolitan Boxes 122,24,41,23,True
336,1-14,,,False
521,3,36,2,True
Promenade Level 512,2,148,1,True
128,19,47,23,True
329,1,204,0,True
Metropolitan Box 123,14,42,13,True
129,10,48,5,True
Baseline Silver 107,20,130,21,True
407,3,27,2,True
311,2,76,1,True
Baseline Boxes 107,9,130,10,True
128,7,47,11,True
12,14,180,11,True
121,16,40,15,True
324,1,201,0,True
518,1,194,0,True
508,7,167,6,True
110,21,87,25,True
Metropolitan Boxes 113,10,88,9,True
Caesars Box 330,2,160,1,True
Baseline Box 130,19,4,5,True
301,3,116,2,True
312,9,75,8,True
Metropolitan Boxes 112,18,89,17,True
Metropolitan Boxes 112,14,89,13,True
Metropolitan Boxes 112,22,89,21,True
101,8,128,5,True
509,1,168,0,True
407,1,27,0,True
Promenade Reserved 506,4,169,3,True
520,8,34,7,True
406,2,28,1,True
12,16,180,13,True
126,14,45,18,True
301,2,116,1,True
Metropolitan Boxes 114,16,83,15,True
111,10,86,9,True
Metropolitan Boxes 113,23,88,22,True
308,2,112,1,True
508,1,167,0,True
107,9,130,10,True
109,14,124,16,True
121,21,40,20,True
520,8,34,7,True
521,8,36,7,True
125,7,44,9,True
Field Boxes 125,14,44,16,True
422,2,107,1,True
Field Box 109,10,124,12,True
537,7,61,6,True
Field Boxes 110,23,87,27,True
304,3,119,2,True
402,1,32,0,True
19,9,185,8,True
511,2,145,1,True
103,1,127,0,True
122,16,41,15,True
407,1,27,0,True
Field Box 109,15,124,17,True
Baseline Boxes 128,17,47,21,True
13,17,179,14,True
125,2,44,4,True
112,14,89,13,True
Promenade Level 520,7,34,6,True
403,2,31,1,True
404,1,166,0,True
Promenade Level 405,3,29,2,True
Metropolitan Box 122,17,41,16,True
121,23,40,22,True
409,4,35,3,True
114,16,83,15,True
312,5,75,4,True
517,2,151,1,True
Metropolitan Box 112,14,89,13,True
516,3,152,2,True
Excelsior Level 303,2,118,1,True
Promenade Level 407,2,27,1,True
520,8,34,7,True
Promenade Level 523,2,38,1,True
Promenade Level 501,10,175,9,True
129,9,48,4,True
Metropolitan Boxes 111,29,86,28,True
Baseline Silver 107,17,130,18,True
506,1,169,0,True
128,12,47,16,True
523,5,38,4,True
520,1,34,0,True
Promenade Level 507,5,170,4,True
517,1,151,0,True
Excelsior Level 323,3,196,2,True
328,1,203,0,True
19,1,185,0,True
121,8,40,7,True
110,23,87,27,True
125,19,44,21,True
129,10,48,5,True
128,10,47,14,True
Section 529,5,109,4,True
109,2,124,4,True
508,7,167,6,True
513,1,213,0,True
Field Box 109,10,124,12,True
423,3,106,2,True
510,5,146,4,True
Section 307,8,122,7,True
Metropolitan Boxes 122,21,41,20,True
103,6,127,5,True
520,2,34,1,True
406,1,28,0,True
125,A,,,False
513,6,213,5,True
502,6,173,5,True
128,15,47,19,True
506,5,169,4,True
128,12,47,16,True
110,16,87,20,True
Excelsior Level 304,3,119,2,True
332,2,162,1,True
128,E,47,4,True
110,31,87,35,True
109,A,124,0,True
111,28,86,27,True
128,10,47,14,True
Baseline Boxes 128,9,47,13,True
128,8,47,12,True
126,4,45,8,True
125,6,44,8,True
134,6,8,11,True
125,14,44,16,True
407,3,27,2,True
112,11,89,10,True
125,A,,,False
310,5,77,4,True
Excelsior Level 303,3,118,2,True
516,3,152,2,True
522,5,37,4,True
522,6,37,5,True
121,9,40,8,True
Metropolitan Box 114,17,83,16,True
309.,4,113,3,True
407,2,27,1,True
14,15,182,12,True
103,2,127,1,True
134,E,8,2,True
Baseline Boxes 105,15,132,3,True
109,14,124,16,True
509,1,168,0,True
502,4,173,3,True
Metropolitan Box 122,19,41,18,True
Field Box 110,16,87,20,True
338,8,154,7,True
Excelsior Level 303,5,118,4,True
519,12,137,11,True
508,2,167,1,True
114,7,83,6,True
511,5,145,4,True
332,3,162,2,True
506,5,169,4,True
125,22,44,24,True
Field Reserved 134,1,8,6,True
Field Boxes 109,3,124,5,True
107,20,130,21,True
110,5,87,9,True
405,1,29,0,True
13,1-20,,,False
Caesars Box 328,5,203,4,True
310,1,77,0,True
534,1,64,0,True
107,8,130,9,True
Caesars Box 330,2,160,1,True
524,9,12,8,True
323,2,196,1,True
Excelsior Level 338,3,154,2,True
327,5,200,4,True
107,8,130,9,True
522,6,37,5,True
125,12,44,14,True
Metropolitan Box 121,18,40,17,True
312,7,75,6,True
506,4,169,3,True
Excelsior Level 302,1,117,0,True
Field Boxes 109,3,124,5,True
113,9,88,8,True
Metropolitan Boxes 121,4,40,3,True
311,1-12,,,False
136,2,6,1,True
136,6,6,5,True
310,1-12,,,False
323,2,196,1,True
Field Boxes 126,14,45,18,True
107,17,130,18,True
301,3,116,2,True
301,2,116,1,True
122,9,41,8,True
326,8,199,7,True
FIELD BOX 110,27,87,31,True
109,15,124,17,True
128,10,47,14,True
126,3,45,7,True
534,1,64,0,True
Section 502,1,173,0,True
121,17,40,16,True
110,23,87,27,True
138,1,10,0,True
113,9,88,8,True
309,2,113,1,True
122,4,41,3,True
128,10,47,14,True
126,14,45,18,True
Baseline Silver 128,10,47,14,True
505,10,172,9,True
329,1,204,0,True
Excelsior Level 311,5,76,4,True
123,14,42,13,True
Metropolitan Boxes 112,8,89,7,True
113,25,88,24,True
329,2,204,1,True
Section 130,28,4,14,True
Field Reserved 136,5,6,4,True
134,G,8,4,True
Field Boxes 125,2,44,4,True
311.,2,76,1,True
Field Silver 126,2,45,6,True
Excelsior Level 327,8,200,7,True
Promenade Box 407,3,27,2,True
Left Field Reserved 137,3,5,2,True
125,19,44,21,True
522,11,37,10,True
405,1,29,0,True
137,1,5,0,True
129,1-39,,,False
103,4,127,3,True
125,21,44,23,True
518,5,194,4,True
302,3,117,2,True
125,D,44,1,True
301,2,116,1,True
112,3,89,2,True
312,7,75,6,True
130,15,4,1,True
Field Box 125,24,44,26,True
523,5,38,4,True
103,4,127,3,True
126,30,45,34,True
520,6,34,5,True
Metropolitan Box 112,22,89,21,True
415,3,94,2,True
Caesars Box 330,2,160,1,True
Field Box 109,12,124,14,True
309.,3,113,2,True
134,5,8,10,True
Metropolitan Box 122,16,41,15,True
125,18,44,20,True
Promenade Level 521,4,36,3,True
302,3,117,2,True
310,1,77,0,True
124,30,43,29,True
Caesars Box 327,8,200,7,True
407,1,27,0,True
130,15,4,1,True
Promenade Level 426,1,111,0,True
422,4,107,3,True
327,4,200,3,True
Promenade Level 404,1,166,0,True
327,4,200,3,True
103,4,127,3,True
Section 538,2,71,1,True
328,5,203,4,True
114,10,83,9,True
Field Box 110,16,87,20,True
128,3,47,7,True
402,1,32,0,True
Field Reserved 138,2,10,1,True
530,12,164,11,True
Field Box 109,7,124,9,True
326,8,199,7,True
316,2,79,1,True
126,3,45,7,True
112,22,89,21,True
Right Field 103,5,127,4,True
18,16,186,11,True
110,14,87,18,True
523,4,38,3,True
503,8,174,7,True
407,2,27,1,True
Excelsior Level 318,5,73,4,True
305,1-14,,,False
107,5,130,6,True
113,17,88,16,True
129,10,48,5,True
Metropolitan Boxes 114,15,83,14,True
Promenade Level 424,1,178,0,True
123,21,42,20,True
Metropolitan Boxes 122,8,41,7,True
13,17,179,14,True
Promenade Box 403,3,31,2,True
Caesars Box 310,2,77,1,True
305,1,120,0,True
Promenade Reserved 508,1,167,0,True
109,11,124,13,True
Caesars Gold 321,3,198,2,True
520,1,34,0,True
113,22,88,21,True
Field Box 109,7,124,9,True
Promenade Level 407,1,27,0,True
128,12,47,16,True
304,2,119,1,True
112,21,89,20,True
508,6,167,5,True
124,31,43,30,True
506,1-17,,,False
LEFT FIELD RESERVED 136,5,6,4,True
522,5,37,4,True
523,4,38,3,True
508,7,167,6,True
123,9,42,8,True
328.,6,203,5,True
121,9,40,8,True
521,4,36,3,True
116,6,85,3,True
113,12,88,11,True
136,2,6,1,True
126,1,45,5,True
121,9,40,8,True
406,1,28,0,True
426,2,111,1,True
Caesars Box 311,7,76,6,True
129,29,48,24,True
306,10,121,9,True
Promenade Level 405,1,29,0,True
109,14,124,16,True
317,2,78,1,True
Excelsior Level 302,6,117,5,True
424,1,178,0,True
326,8,199,7,True
112,15,89,14,True
126,2,45,6,True
409,3,35,2,True
326,8,199,7,True
519,8,137,7,True
509,2,168,1,True
Left Field 136,5,6,4,True
506,3,169,2,True
134,F,8,3,True
Left Field 136,10,6,9,True
12,16,180,13,True
103,11,127,10,True
304,5,119,4,True
134,1,8,6,True
125,24,44,26,True
129,15,48,10,True
LEFT FIELD RESERVED 139,2,9,1,True
309.,4,113,3,True
128,12,47,16,True
502,4,173,3,True
509,1,168,0,True
Metropolitan Boxes 123,13,42,12,True
136,11,6,10,True
312,4,75,3,True
309.,4,113,3,True
308,2,112,1,True
Promenade Infield 516,7,152,6,True
122,21,41,20,True
513,2,213,1,True
Promenade Level 404,1,166,0,True
112,15,89,14,True
328,1,203,0,True
303,3,118,2,True
121,8,40,7,True
102,9,126,6,True
422,1,107,0,True
Metropolitan Box 123,21,42,20,True
Metropolitan Box 122,16,41,15,True
Field Reserved 134,2,8,7,True
128,16,47,20,True
327,6,200,5,True
Field Boxes 125,8,44,10,True
311,7,76,6,True
107,6,130,7,True
112,19,89,18,True
128,5,47,9,True
Baseline Box 132,32,2,8,True
508,8,167,7,True
133,C,1,2,True
Promenade Box 424,4,178,3,True
335,10,155,9,True
107,17,130,18,True
Metropolitan Box 121,21,40,20,True
125,13,44,15,True
526,8,98,7,True
Excelsior Level 304,2,119,1,True
509,1,168,0,True
112,16,89,15,True
426,2,111,1,True
Field Reserved 103,6,127,5,True
311.,4,76,3,True
301,2,116,1,True
107,8,130,9,True
114,6,83,5,True
123,13,42,12,True
Left Field 138,4,10,3,True
18,15,186,10,True
302,4,117,3,True
128,13,47,17,True
109,11,124,13,True
403,3,31,2,True
501,5,175,4,True
Promenade Reserved 507,6,170,5,True
Section 19,19,185,18,True
404,1,166,0,True
523,4,38,3,True
107,5,130,6,True
110,30,87,34,True
110,14,87,18,True
135,4,7,3,True
Field Silver 109,1,124,3,True
129,7,48,2,True
110,13,87,17,True
109,7,124,9,True
114,20,83,19,True
Caesars Box 329,3,204,2,True
110,16,87,20,True
121,8,40,7,True
Left Field 134,1,8,6,True
19,9,185,8,True
519,3,137,2,True
128,20,47,24,True
107,7,130,8,True
112,6,89,5,True
121,14,40,13,True
18,15,186,10,True
304,4,119,3,True
508,1,167,0,True
404,1,166,0,True
134,5,8,10,True
508,1,167,0,True
Baseline Boxes 129,15,48,10,True
FIELD SILVER 109,D,124,1,True
134,4,8,9,True
311,4,76,3,True
405,1-7,,,False
522,2,37,1,True
128,13,47,17,True
301,3,116,2,True
110,10,87,14,True
514,1,217,0,True
420,4,133,3,True
107,26,130,27,True
109,11,124,13,True
PROMENADE RESERVED 507,12,170,11,True
135,3,7,2,True
109,12,124,14,True
304,4,119,3,True
123,7,42,6,True
114,19,83,18,True
107,7,130,8,True
126,1,45,5,True
Promenade Reserved 520,4,34,3,True
Left Field 138,2,10,1,True
Metropolitan Boxes 113,17,88,16,True
129,10,48,5,True
520,8,34,7,True
Promenade Level 409,3,35,2,True
114,7,83,6,True
128,10,47,14,True
113,19,88,18,True
524,2,12,1,True
121,4,40,3,True
302,4,117,3,True
135,4,7,3,True
137,2,5,1,True
Baseline Box 106,9,129,4,True
Coca Cola Corner 305,3,120,2,True
107,8,130,9,True
110,11,87,15,True
125,21,44,23,True
101,1-10,,,False
328,5,203,4,True
110,15,87,19,True
Promenade Level 424,1,178,0,True
520,4,34,3,True
Metropolitan Box 114,16,83,15,True
Metropolitan Boxes 121,4,40,3,True
Baseline Box 105,18,132,6,True
508,8,167,7,True
523,3,38,2,True
112,1-10,,,False
112,18,89,17,True
Right Field 102,8,126,5,True
328,4,203,3,True
114,2,83,1,True
426,2,111,1,True
129,9,48,4,True
102,5,126,2,True
113,22,88,21,True
521,5,36,4,True
Metropolitan Boxes 112,7,89,6,True
Promenade Reserved 523,3,38,2,True
321,3,198,2,True
309,5,113,4,True
527,5,30,4,True
328.,6,203,5,True
Promenade Box 405,1,29,0,True
Promenade Level 507,2,170,1,True
329,5,204,4,True
134,16,8,21,True
Promenade Reserved 523,3,38,2,True
412,2,114,1,True
Baseline Silver 129,16,48,11,True
114,13,83,12,True
125,14,44,16,True
134,5,8,10,True
Promenade Level 524,1,12,0,True
123,17,42,16,True
404,1,166,0,True
Field Boxes 126,13,45,17,True
112,4,89,3,True
519,8,137,7,True
Metropolitan Boxes 123,9,42,8,True
511,3,145,2,True
Promenade Gold 412,1,114,0,True
520,2,34,1,True
507,1,170,0,True
Promenade Infield 514,1,217,0,True
334,1,156,0,True
303,5,118,4,True
Field Reserved 102,5,126,2,True
122,19,41,18,True
107,5,130,6,True
326,9,199,8,True
110,1-39,,,False
134,5,8,10,True
125,7,44,9,True
121,11,40,10,True
Field Reserved 134,1,8,6,True
128,14,47,18,True
311,2,76,1,True
109,14,124,16,True
Section 425,1,176,0,True
Field Reserved 138,1,10,0,True
123,8,42,7,True
516,4,152,3,True
Promenade Box 423,1,106,0,True
123,14,42,13,True
Promenade Level 521,7,36,6,True
310,5,77,4,True
Section 139,9,9,8,True
Field Boxes 109,9,124,11,True
302,5,117,4,True
301,4,116,3,True
405,2,29,1,True
304,2,119,1,True
422,4,107,3,True
Coca Cola Corner 303,2,118,1,True
134,4,8,9,True
103,3,127,2,True
