section,row,n_section_id,n_row_id,valid
Upper Reserve 42,JJ,124,8,True
39FD,E,196,4,True
12FD,A,258,0,True
309PL,T,88,18,True
39RS,M,149,11,True
27RS,O,193,13,True
159LG,P,13,14,True
41RS,CC,125,3,True
28FD,B,232,1,True
PREFERRED LOGE BOX V,J,,,False
5RS,R,109,15,True
Field Box FB47,O,213,13,True
15RS,M,222,11,True
10RS,T,217,17,True
10TD,B,209,1,True
Infield Box Value 35,L,184,10,True
RESERVE MVP VALUE 10,R,217,15,True
Infield Box IFB29,R,231,15,True
148LG,C,36,2,True
Infield Box 29,L,231,10,True
Loge Box VIP & MVP 117,R,143,15,True
149LG,A,35,0,True
160LG,S,281,16,True
34 FIELD,E,159,4,True
Reserve MVP 10,J,217,8,True
46FD,P,214,14,True
7TD,D,201,3,True
Preferred Reserve 24,S,255,16,True
Preferred Loge Box Value 167,F,135,5,True
Loge Box 160,C,281,2,True
120LG,B,126,1,True
Infield Loge Box Value 146,F,40,5,True
56RS,D,78,3,True
Loge 120,L,126,10,True
3TD,A,249,0,True
24RS,H,255,7,True
46RS,HH,128,7,True
44 FIELD,A,212,0,True
Loge Box 158,J,12,8,True
12TD,A,207,0,True
312PR,C,141,2,True
Infield Reserve IFR11,D,199,3,True
5RS,D,109,3,True
31FD,M,242,11,True
309PL,S,88,17,True
Upper Reserve 46,HH,128,7,True
Loge Box 163,N,122,12,True
RESERVE MVP 16,A,288,0,True
30FD,E,239,4,True
26FD,B,218,1,True
19FD,C,269,2,True
Preferred Reserve 23,T,197,17,True
27RS,U,193,18,True
RESERVE VIP 6,B,106,1,True
50FD,AA,179,0,True
FIELD BOX MVP 5,J,166,8,True
Reserve MVP 8,A,61,0,True
36FD,E,230,4,True
47RS,A,287,0,True
52FD,C,177,3,True
Field Box VIP & MVP FBMVP7,B,168,1,True
160LG,G,281,6,True
9RS,C,118,2,True
31FD,X,242,21,True
Infield Box 26,K,218,9,True
Preferred Reserve 24,B,255,1,True
28RS,B,133,1,True
7TD,J,201,8,True
Infield Loge Box Value 146,K,40,9,True
Infield Box VIP 30,E,239,4,True
35FD,D,184,3,True
311LFP,B,160,1,True
Top Deck Front Row 8,A,52,0,True
3TD,J,249,8,True
10TD,A,209,0,True
Infield Box IFB34,F,159,5,True
Field Box FB45,R,211,15,True
28RS,S,133,16,True
Loge Box VIP & MVP 129,H,120,7,True
Reserve MVP 2,H,110,7,True
Preferred Field Box 42,N,140,12,True
Lower Reserve LR35,C,153,2,True
Lower Reserve LR40,B,264,1,True
Preferred Field Box 45,A,211,0,True
Top Deck 6,E,1,4,True
Field Box VIP & MVP FBMVP24,D,158,3,True
247CL,C,276,2,True
Loge 124,C,134,2,True
162LG,P,279,14,True
11FD,D,272,3,True
Lower Reserve LR43,M,204,11,True
Loge Box 165,J,136,8,True
40FD,F,208,5,True
Infield Box IFB32,K,85,9,True
Loge Box 166,D,275,3,True
159LG,D,13,3,True
146LG,F,40,5,True
Preferred Reserve 40,O,264,13,True
18RS,BB,225,1,True
19RS,C,34,2,True
303PL,P,67,14,True
10TD,M,209,11,True
22FD,B,161,1,True
29FD,L,231,10,True
Reserve MVP 5,H,109,7,True
Infield Loge Box 145,A,37,0,True
33FD,J,292,8,True
Infield Reserve 31,J,157,8,True
23RS,R,197,15,True
Infield Loge Box 137,H,75,7,True
Loge Box 165,G,136,6,True
42FD,C,140,2,True
Left Field Pavilion 301,O,261,13,True
Infield Box 33,S,292,16,True
Loge 126,F,130,5,True
138LG,F,65,5,True
147LG,C,39,2,True
19RS,G,34,6,True
Field Box MVP 23,S,221,16,True
Preferred Field Box PFB38,G,195,6,True
138LG,D,65,3,True
Field Box MVP 1,U,162,18,True
32RS,B,154,1,True
40RS,R,264,15,True
Loge Box 160,P,281,14,True
Preferred Field Box PFB37,A,186,0,True
Loge 168,E,284,4,True
Preferred Reserve 40,F,264,5,True
Field Box FB44,M,212,11,True
28RS,T,133,17,True
162LG,A,279,0,True
51FD,L,180,11,True
Preferred Loge Box Value 167,E,135,4,True
163LG,K,122,9,True
Reserve MVP 7,J,107,8,True
34FD,D,159,3,True
INFIELD RESERVE 24,U,255,18,True
Infield Box Value 39,M,196,11,True
7TD,D,201,3,True
27RS,K,193,9,True
Pavilion 312,D,141,3,True
Loge Box VIP & MVP 120,B,126,1,True
19 FIELD,M,269,11,True
46RS,HH,128,7,True
Loge Box 157,R,8,15,True
48FD,A,216,1,True
126LG,J,130,8,True
Reserve R38,GG,248,6,True
28RS,M,133,11,True
35FD,L,184,10,True
8FD,D,169,3,True
Preferred Reserve 28,L,133,10,True
Preferred Reserve 40,J,264,8,True
16FD,B,262,1,True
Upper Reserve 13,AA,220,0,True
FIELD BOX MVP 5,J,166,8,True
Pavilion 311,K,160,9,True
Preferred Reserve 44,J,189,8,True
Infield Box IFB34,A,159,0,True
104LG,E,188,4,True
40RS,N,264,12,True
Reserve MVP 20,E,206,4,True
41 FIELD,V,60,19,True
Top Deck 5,E,289,4,True
Preferred Reserve 35,E,153,4,True
Lower Reserve LR27,J,193,8,True
46FD,G,214,6,True
Loge Box 159,E,13,4,True
Preferred Field Box 42,W,140,20,True
Loge Box 161,E,63,4,True
27RS,J,193,8,True
RESERVE MVP 7,E,107,4,True
5TD,E,289,4,True
Lower Reserve LR35,J,153,8,True
161LG,M,63,11,True
2TD,B,182,1,True
50RS,GG,80,6,True
10TD,C,209,2,True
Infield Box Value VIP 36,E,230,4,True
31FD,M,242,11,True
134LG,E,72,4,True
Lower Reserve LR35,C,153,2,True
Preferred Reserve 39,F,149,5,True
LG 151,D,6,3,True
146LG,G,40,6,True
160LG,F,281,5,True
42RS,JJ,124,8,True
2RS,G,110,6,True
30FD,D,239,3,True
119LG,K,49,9,True
Loge 162,G,279,6,True
Infield Reserve IFR1,N,113,12,True
11RS,B,199,1,True
Reserve MVP 7,G,107,6,True
253CL,F,233,5,True
Infield Box Value 34,J,159,8,True
Preferred Loge Box Value 160,K,281,9,True
158LG,M,12,11,True
11RS,J,199,8,True
18RS,AA,225,0,True
Reserve R42,CC,124,4,True
Loge Box 168,L,284,10,True
Preferred Field Box 45,M,211,11,True
Pavilion 310,D,139,3,True
Top Deck 3,C,249,2,True
Preferred Reserve 27,H,193,7,True
40FD,B,208,1,True
41FD,U,60,18,True
5FD,K,166,9,True
Reserve MVP 5,M,109,11,True
Infield Box VIP 28,C,232,2,True
Lower Reserve LR23,D,197,3,True
16RS,D,288,3,True
Infield Box 29,T,231,17,True
4RS,G,108,6,True
51RS,A,81,0,True
Preferred Reserve 44,K,189,9,True
Infield Box Value 38,C,195,2,True
Loge Box VIP & MVP 116,F,142,5,True
47FD,J,213,8,True
166LG,D,275,3,True
2RS,U,110,18,True
Reserve MVP 5,J,109,8,True
Field Box FB44,A,212,0,True
152LG,K,3,9,True
10RS,H,217,7,True
Field Box VIP & MVP FBMVP12,B,258,1,True
43RS,L,204,10,True
101LG,J,183,8,True
5RS,J,109,8,True
21FD,B,223,1,True
Upper Reserve 50,CC,80,3,True
Reserve MVP 2,B,110,1,True
159,O,13,13,True
5FD,B,166,1,True
Infield Box 29,W,231,20,True
50FD,J,179,9,True
Loge Box VIP & MVP 114,J,144,8,True
Infield Box 29,L,231,10,True
Preferred Field Value 47,S,213,16,True
Field Box MVP 16,R,262,15,True
Top Deck TD7,G,201,6,True
Reserve MVP 1,N,113,12,True
Top Deck 13,M,237,11,True
137LG,E,75,4,True
RESERVE VIP FRONT ROW 8,A,61,0,True
Top Deck 13,L,237,10,True
Loge 158,K,12,9,True
Loge 127,E,127,4,True
Preferred Field Value 53,E,178,5,True
10RS,U,217,18,True
Preferred Field Box PFB42,V,140,19,True
20RS,E,206,4,True
1TD,G,226,6,True
Upper Reserve 46,HH,128,7,True
253CL,D,233,3,True
47FD,J,213,8,True
313PL,T,62,18,True
131LG,F,69,5,True
166LG,A,275,0,True
32FD,A,85,0,True
Preferred Field Value 49,L,215,11,True
Lower Reserve LR44,R,189,15,True
Top Deck TD8,K,52,9,True
Preferred Field Value 47,M,213,11,True
Upper Reserve 49,AA,246,0,True
Infield Reserve 32,E,154,4,True
9TD,O,11,13,True
31FD,G,242,6,True
34FD,H,159,7,True
Preferred Loge Box Value 158,T,12,17,True
Infield Loge Box 138,C,65,2,True
18RS,AA,225,0,True
Preferred Field Box PFB36,C,230,2,True
Lower Reserve LR39,E,149,4,True
Preferred Loge Box Value 160,S,281,16,True
2RS,F,110,5,True
313PL,E,62,4,True
40FD,F,208,5,True
Field Box VIP 21,D,223,3,True
48RS,G,132,6,True
117LG,M,143,11,True
Loge 118,P,47,14,True
51RS,G,81,6,True
Upper Reserve 57,DD,79,3,True
Loge Box 161,J,63,8,True
24RS,E,255,4,True
156LG,A,7,0,True
5RS,H,109,7,True
46FD,S,214,16,True
Infield Loge Box Value 147,P,39,14,True
Preferred Loge Box 148,D,36,3,True
Loge 101,H,183,7,True
28FD,H,232,7,True
Loge 164,F,277,5,True
4RS,E,108,4,True
INFIELD RESERVE VIP FRONT ROW,A,,,False
167LG,H,135,7,True
Field Box VIP & MVP FBMVP22,D,161,3,True
Field Box VIP & MVP FBMVP12,K,258,9,True
35RS,B,153,1,True
2DG,GG,99,6,True
Top Deck TD7,G,201,6,True
53 FD,E,178,5,True
31FD,X,242,21,True
Infield Loge Box 137,J,75,8,True
157LG,N,8,12,True
162LG,T,279,17,True
168LG,A-W,,,False
27RS,L,193,10,True
313PL,G,62,6,True
3TD,A,249,0,True
4RS,E,108,4,True
137LG,D,75,3,True
INFIELD RESERVE 23,G,197,6,True
48FD,L,216,11,True
146LG,R,40,15,True
Infield Reserve IFR11,R,199,15,True
Reserve MVP 8,E,61,4,True
Preferred Field Box PFB43,L,241,10,True
303PL,F,67,5,True
43FD,L,241,10,True
129LG,R,120,15,True
Preferred Reserve 36,J,150,8,True
Infield Box IFB29,R,231,15,True
Loge 104,E,188,4,True
Right Field Pavilion 312,C,141,2,True
35RS,C,153,2,True
Pavilion 311,E,160,4,True
RESERVE VIP 6,C,106,2,True
RESERVE VIP 8,B,61,1,True
Infield Box Value 35,D,184,3,True
Preferred Reserve 27,J,193,8,True
Preferred Reserve 46,HH,128,7,True
Preferred Reserve 48,B,132,1,True
36RS,C,150,2,True
Top Deck 6,C,1,2,True
114,A,144,0,True
157LG,G,8,6,True
24RS,T,255,17,True
Upper Reserve 46,HH,128,7,True
Infield Reserve IFR15,M,222,11,True
19RS,H,34,7,True
Field Box FB52,E,177,5,True
Top Deck 7,F,201,5,True
Preferred Reserve Value 57,JJ,79,8,True
7RS,E,107,4,True
31RS,B,157,1,True
Infield Box Value 35,V,184,19,True
Field Box MVP 23,K,221,9,True
26FD,U,218,18,True
36FD,L,230,10,True
1FD,D,162,3,True
Left Field Pavilion 307,L,89,10,True
Preferred Reserve 55,A,77,0,True
Reserve MVP 15,F,222,5,True
14RS,AA,273,0,True
Left Field Pavilion Front Row 311,A,160,0,True
Field Box FB53,A,178,1,True
127 LOGE,A,127,0,True
Infield Loge Box Value 149,M,35,11,True
Preferred Field Value 53,J,178,9,True
Infield Box IFB29,R,231,15,True
127LG,E,127,4,True
Field Box VIP & MVP FBMVP7,K,168,9,True
Infield Reserve Value Front Row 35,A,153,0,True
Pavilion 307,O,89,13,True
34FD,F,159,5,True
40RS,C,264,2,True
Lower Reserve LR23,B,197,1,True
50FD,J,179,9,True
Pavilion 313,O,62,13,True
111LG,G,20,6,True
26FD,R,218,15,True
Preferred Reserve 28,B,133,1,True
127LG,O,127,13,True
Reserve MVP 19,A,34,0,True
Preferred Field Box Value 47,L,213,10,True
31RS,E,157,4,True
159LG,O,13,13,True
15RS,J,222,8,True
28FD,C,232,2,True
148LG,D,36,3,True
Pavilion 305,E,101,4,True
Field Box MVP 6,K,167,9,True
15RS,M,222,11,True
Loge Box 158,O,12,13,True
130LG,M,68,11,True
43RS,L,204,10,True
Loge 125,J,129,8,True
39RS,E,149,4,True
31RS,J,157,8,True
313PL,D,62,3,True
42RS,DD,124,6,True
36FD,H,230,7,True
FIELD BOX MVP 4,A-Z,,,False
All You Can Eat Right Field Pavilion VIP 312,C,141,2,True
8RS,G,61,6,True
Loge 111,G,20,6,True
2DG,GG,99,6,True
42FD,C,140,2,True
157LG,R,8,15,True
Infield Loge Box 146,F,40,5,True
Field Box VIP 4,D,165,3,True
Field Box VIP & MVP FBMVP3,B,164,1,True
165LG,G,136,6,True
8RS,A,61,0,True
Reserve MVP 11,K,199,9,True
Preferred Loge Box 154,H,9,7,True
Preferred Reserve 43,E,204,4,True
19RS,E,34,4,True
Loge Box VIP & MVP 118,P,47,14,True
Reserve MVP Value 10,J,217,8,True
Preferred Loge Box Value 158,T,12,17,True
Lower Reserve LR52,A,82,0,True
48FD,L,216,11,True
44FD,D,212,3,True
46FD,T,214,17,True
15RS,A,222,0,True
Preferred Field Value 46,G,214,6,True
45FD,R,211,15,True
43RS,D,204,3,True
5FD,K,166,9,True
Preferred Field Box 44,F,212,5,True
8TD,A,52,0,True
154LG,C,9,2,True
Preferred Field Box 44,C,212,2,True
2RS,S,110,16,True
44RS,T,189,17,True
Field Box VIP & MVP FBMVP20,T,171,17,True
55RS,B,77,1,True
7RS,A,107,0,True
42RS,JJ,124,8,True
36FD,F,230,5,True
Left Field Pavilion 301,Z,261,24,True
147LG,P,39,14,True
42RS,CC,124,4,True
57RS,DD,79,3,True
Infield Reserve IFR4,A,108,0,True
Left Field Pavilion 309,Q,88,15,True
Field Box FB48,F,216,6,True
Preferred Loge Box Value 164,H,277,7,True
118LG,J,47,8,True
Preferred Field Box PFB41,K,60,9,True
Loge 157,R,8,15,True
49FD,F,215,6,True
146LG,J,40,8,True
Upper Reserve 42,FF,124,3,True
Preferred Field Box 45,C,211,2,True
313PL,E,62,4,True
Loge 162,T,279,17,True
Pavilion 309,N,88,12,True
Infield Box IFB26,H,218,7,True
134LG,E,72,4,True
Upper Reserve 53,AA,83,0,True
Infield Reserve IFR16,M,288,11,True
Infield Reserve IFR4,C,108,2,True
45FD,M,211,11,True
12RS,FF,219,5,True
168LG,H,284,7,True
44FD,O,212,13,True
1RS,N,113,12,True
28FD,J,232,8,True
157LG,N,8,12,True
161LG,J,63,8,True
Preferred Reserve 23,F,197,5,True
158 LOGE,C,12,2,True
38BL,5,283,4,True
159LG,T,13,17,True
Preferred Loge Box 154,C,9,2,True
Preferred Loge Box Value 157,T,8,17,True
Loge 168,N,284,12,True
Field Box MVP 1,X,162,21,True
Preferred Reserve 44,N,189,12,True
32FD,K,85,9,True
30FD,H,239,7,True
60RS,B,46,1,True
Lower Reserve LR23,K,197,9,True
46 FIELD,K,214,9,True
311,S,160,17,True
Infield Box 29,F,231,5,True
31FD,O,242,13,True
13TD,D,237,3,True
Preferred Field Value 51,M,180,12,True
Reserve MVP 6,B,106,1,True
Reserve MVP 10,B,217,1,True
Loge Box 161,L,63,10,True
19RS,A,34,0,True
Field Box MVP 4,D,165,3,True
Preferred Reserve 51,P,81,14,True
Preferred Loge Box 151,O,6,13,True
Field Box MVP 2,O,163,13,True
309PL,B,88,1,True
Top Deck 5,A,289,0,True
Preferred Field Value 52,G,177,7,True
49FD,G,215,7,True
Infield Box IFB30,E,239,4,True
3RS,K,111,9,True
Top Deck TD2,L,182,10,True
Lower Reserve LR31,G,157,6,True
Preferred Field Box PFB41,D,60,3,True
Loge 157,H,8,7,True
26FD,T,218,17,True
44RS,T,189,17,True
Left Field Pavilion 311,B,160,1,True
13FD,H,259,7,True
52FD,AA,177,0,True
44RS,C,189,2,True
Infield Box Value 36,L,230,10,True
Preferred Loge Box 151,P,6,14,True
20RS,E,206,4,True
137 LOGE,B,75,1,True
123LG,J,123,8,True
Loge Box VIP & MVP 101,L,183,10,True
59RS,E,87,4,True
Infield Reserve IFR16,R,288,15,True
Preferred Field Value 48,G,216,7,True
12FD,C,258,2,True
Pavilion 304,D,117,3,True
Infield Box Value 34,N,159,12,True
Preferred Field Box 44,N,212,12,True
31FD,T,242,17,True
4TD,A-R,,,False
18RS,AA,225,0,True
Upper Reserve 46,HH,128,7,True
40RS,E,264,4,True
Top Deck TD2,N,182,12,True
122LG,E,181,4,True
46FD,S,214,16,True
Preferred Field Value 51,N,180,13,True
Field Box FB44,B,212,1,True
23RS,T,197,17,True
34FD,G,159,6,True
304,L,117,10,True
36FD,F,230,5,True
Infield Box IFB29,R,231,15,True
146LG,N,40,12,True
Field Box FB52,O,177,14,True
28RS,F,133,5,True
313PL,C,62,2,True
15RS,L,222,10,True
Loge Box 159,S,13,16,True
45FD,L,211,10,True
27RS,E,193,4,True
Infield Box Value VIP 35,E,184,4,True
147LG,C,39,2,True
Preferred Field Value 49,H,215,8,True
Infield Reserve VIP 23,D,197,3,True
31FD,W,242,20,True
17RS,AA,224,0,True
Top Deck 3,J,249,8,True
307PL,O,89,13,True
314PR,C,137,2,True
49 FIELD,B,215,2,True
38FD,J,195,8,True
2RS,G,110,6,True
161LG,L,63,10,True
307PL,E,89,4,True
40,E,,,False
43FD,H,241,7,True
Preferred Reserve 23,J,197,8,True
52FD,F,177,6,True
Pavilion 306,C,115,2,True
165LG,D,136,3,True
Loge Box 168,H,284,7,True
46RS,JJ,128,8,True
Loge Box VIP 115,D,145,3,True
148LG,C,36,2,True
Infield Box IFB27,E,285,4,True
164LG,M,277,11,True
39FD,M,196,11,True
160LG,R,281,15,True
Loge 165,L,136,10,True
Loge 101,K,183,9,True
8RS,D,61,3,True
309PL,F,88,5,True
Field Box VIP & MVP FBMVP2,S,163,16,True
Infield Loge Box Value VIP 147,C,39,2,True
Loge Box 168,K,284,9,True
11RS,H,199,7,True
4TD,M,229,11,True
Field Box MVP 14,P,18,14,True
31FD,J,242,8,True
Right Field Pavilion 302,C,114,2,True
39FD,K,196,9,True
Pavilion 309,Q,88,15,True
42RS,JJ,124,8,True
36FD,R,230,15,True
Preferred Reserve 43,L,204,10,True
Loge 165,A,136,0,True
Pavilion 311,E,160,4,True
Pavilion 309,A,88,0,True
6TD,O,1,13,True
27RS,S,193,16,True
15RS,D,222,3,True
Left Field Pavilion 309,B,88,1,True
Infield Reserve IFR6,D,106,3,True
Preferred Reserve 43,O,204,13,True
4RS,A,108,0,True
11RS,A,199,0,True
Preferred Reserve 40,S,264,16,True
Lower Reserve LR36,B,150,1,True
110LG,E,148,4,True
Field Box VIP & MVP FBMVP17,G,263,6,True
Preferred Loge Box 148,C,36,2,True
152LG,K,3,9,True
Infield Box IFB35,W,184,20,True
Preferred Reserve 28,P,133,14,True
Infield Box Value 34,M,159,11,True
28FD,B,232,1,True
34FD,S,159,16,True
120LG,B,126,1,True
16RS,D,288,3,True
36RS,A,150,0,True
Preferred Field Box 40,B,208,1,True
35FD,U,184,18,True
53FD,D,178,4,True
311PL,P,160,14,True
Infield Box 28,H,232,7,True
35RS,B,153,1,True
TOP DECK VIP 6,B,1,1,True
Preferred Field Box 44,O,212,13,True
Loge Box VIP 126,C,130,2,True
114LG,J,144,8,True
Infield Loge Box 138,G,65,6,True
51FD,O,180,14,True
Lower Reserve LR24,M,255,11,True
Preferred Field Value 49,M,215,12,True
Field Box VIP & MVP FBMVP11,D,272,3,True
148LG,G,36,6,True
Infield Reserve IFR12,BB,219,1,True
Top Deck 2,M,182,11,True
Infield Box IFB34,N,159,12,True
40FD,S,208,16,True
Loge Box MVP 119,G,49,6,True
Field Box FB44,B,212,1,True
Preferred Field Value 51,M,180,12,True
Loge 123,O,123,13,True
30FD,E,239,4,True
Top Deck 4,L,229,10,True
29FD,F,231,5,True
47FD,A,213,0,True
163LG,C,122,2,True
5FD,B,166,1,True
8TD,K,52,9,True
39RS,K,149,9,True
7TD,M,201,11,True
34FD,T,159,17,True
Left Field Pavilion 305,A,101,0,True
6TD,B,1,1,True
57RS,EE,79,4,True
29FD,R,231,15,True
11FD,D,272,3,True
Loge Box 162,A,279,0,True
305PL,A,101,0,True
Reserve MVP 11,F,199,5,True
40RS,A-W,,,False
Preferred Loge Box 152,N,3,12,True
Loge 159,O,13,13,True
INFIELD RESERVE 14,AA,273,0,True
311PL,G,160,6,True
132LG,H,70,7,True
Pavilion 311,R,160,16,True
53 FD,F,178,6,True
Field Box VIP & MVP FBMVP1,O,162,13,True
Preferred Field Box Value 48,K,216,10,True
10RS,J,217,8,True
4DG,CC,105,2,True
39RS,S,149,16,True
RESERVE MVP VAULE 10,O,217,13,True
PREFERRED LOGE BOX 164,A-W,,,False
146LG,N,40,12,True
6DG,BB,103,1,True
Preferred Reserve 44,H,189,7,True
Top Deck 13,M,237,11,True
309PL,F,88,5,True
314,D,137,3,True
21RS,CC,267,2,True
310PR,C,139,2,True
6TD,M,1,11,True
Preferred Reserve 27,E,193,4,True
Reserve MVP 2,J,110,8,True
Pavilion 305,E,101,4,True
44RS,M,189,11,True
135LG,F,73,5,True
Preferred Field Box PFB41,T,60,17,True
15RS,O,222,13,True
36RS,A,150,0,True
35FD,L,184,10,True
146LG,J,40,8,True
Field Box FB47,T,213,17,True
307PL,F,89,5,True
8FD,F,169,5,True
Lower Reserve LR23,F,197,5,True
Reserve MVP 2,F,110,5,True
Infield Box Value VIP 36,D,230,3,True
Field Box VIP 12,B,258,1,True
Pavilion 304,A,117,0,True
9RS,C,118,2,True
9FD,O,170,13,True
Reserve VIP Value 11,C,199,2,True
168LG,F,284,5,True
Infield Reserve 27,J,193,8,True
Preferred Reserve VIP 56,B,78,1,True
5FD,F,166,5,True
Field Box FB48,F,216,6,True
Field Box FB49,L,215,11,True
157LG,T,8,17,True
44FD,H,212,7,True
Loge Box VIP & MVP 117,O,143,13,True
Upper Reserve 21,BB,267,1,True
Loge Box 168,F,284,5,True
Preferred Field Value 46,G,214,6,True
Right Field Pavilion Front Row 312,A,141,0,True
23RS,B,197,1,True
310PR,D,139,3,True
53FD,D,178,4,True
46FD,S,214,16,True
Infield Reserve 21,CC,267,2,True
Field Box FB48,G,216,7,True
Loge 165,H,136,7,True
Upper Reserve 58,CC,86,2,True
35FD,U,184,18,True
11RS,K,199,9,True
Lower Reserve LR23,K,197,9,True
3TD,J,249,8,True
Preferred Reserve 47,M,287,11,True
Preferred Reserve 24,M,255,11,True
Infield Reserve 14,CC,273,2,True
311PL,A-Z,,,False
Preferred Reserve 43,M,204,11,True
55RS,C,77,2,True
Field Box VIP & MVP FBMVP21,K,223,9,True
Loge 162,H,279,7,True
41FD,G,60,6,True
Left Field Pavilion 307,L,89,10,True
Loge 160,D,281,3,True
Field Box MVP 5,K,166,9,True
Lower Reserve LR51,B,81,1,True
27FD,R,285,15,True
Infield Loge Box 146,S,40,16,True
11RS,H,199,7,True
Field Box MVP 4,D,165,3,True
Preferred Reserve 39,M,149,11,True
Top Deck TD2,E,182,4,True
Reserve MVP 5,R,109,15,True
Preferred Loge Box 153,O,4,13,True
49FD,H,215,8,True
46FD,N,214,12,True
123LG,H,123,7,True
61RS,DD,45,3,True
11FD,B,272,1,True
145LG,A,37,0,True
Loge Box 164,A,277,0,True
6TD,M,1,11,True
Loge Box VIP & MVP 104,T,188,17,True
53 FD,E,178,5,True
138LG,G,65,6,True
Preferred Reserve 43,S,204,16,True
45FD,B,211,1,True
Infield Loge Box 137,H,75,7,True
127LG,L,127,10,True
Lower Reserve LR23,B,197,1,True
